demographic,model_idx,auc,auprc,ece,acc,model,auc_gt,auprc_gt,ece_gt,acc_gt,dataset,model_alg_combinations,subgroups,method,run,n_labeled,n_unlabeled
global,0,0.9166666666666666,0.4174242424242425,0.07131554316729308,0.9,distilbert_CORAL,0.8582004316967984,0.39372116301706805,0.05935092762083727,0.8830036925744869,CivilComments,"distilbert_CORAL,distilbert_ERM,distilbert_IRM,distilbert_ERM_seed1,distilbert_ERM_seed2,distilbert_IRM_seed1,distilbert_IRM_seed2",,labeled,0,10,50
global,1,0.9753086419753088,0.8592592592592592,0.05056680642461895,0.9166666666666666,distilbert_ERM,0.9357778602710691,0.7154808129877523,0.06230704956591628,0.9205124755198756,CivilComments,"distilbert_CORAL,distilbert_ERM,distilbert_IRM,distilbert_ERM_seed1,distilbert_ERM_seed2,distilbert_IRM_seed1,distilbert_IRM_seed2",,labeled,0,10,50
global,2,0.9814814814814813,0.8819444444444444,0.11291007732691774,0.8833333333333332,distilbert_IRM,0.9139576861374915,0.651180841736298,0.10754337069860369,0.8795951622789314,CivilComments,"distilbert_CORAL,distilbert_ERM,distilbert_IRM,distilbert_ERM_seed1,distilbert_ERM_seed2,distilbert_IRM_seed1,distilbert_IRM_seed2",,labeled,0,10,50
global,3,0.962962962962963,0.8306878306878307,0.07241913616941627,0.9,distilbert_ERM_seed1,0.9358424751226327,0.7163384280155782,0.06280826223670978,0.9208413687940081,CivilComments,"distilbert_CORAL,distilbert_ERM,distilbert_IRM,distilbert_ERM_seed1,distilbert_ERM_seed2,distilbert_IRM_seed1,distilbert_IRM_seed2",,labeled,0,10,50
global,4,0.9598765432098766,0.7973544973544974,0.10696017475811459,0.8833333333333332,distilbert_ERM_seed2,0.9386768831533797,0.7258177558513976,0.050056492682490995,0.9197799405002167,CivilComments,"distilbert_CORAL,distilbert_ERM,distilbert_IRM,distilbert_ERM_seed1,distilbert_ERM_seed2,distilbert_IRM_seed1,distilbert_IRM_seed2",,labeled,0,10,50
global,5,0.8333333333333334,0.8225047080979284,0.11129061303175451,0.8833333333333332,distilbert_IRM_seed1,0.9083536114949087,0.6572765652561481,0.10079086798187113,0.8873540536096037,CivilComments,"distilbert_CORAL,distilbert_ERM,distilbert_IRM,distilbert_ERM_seed1,distilbert_ERM_seed2,distilbert_IRM_seed1,distilbert_IRM_seed2",,labeled,0,10,50
global,6,0.9783950617283951,0.7861111111111111,0.11285234920824223,0.8833333333333332,distilbert_IRM_seed2,0.9179285323925367,0.6519235245376713,0.10181196868886459,0.8866663676727811,CivilComments,"distilbert_CORAL,distilbert_ERM,distilbert_IRM,distilbert_ERM_seed1,distilbert_ERM_seed2,distilbert_IRM_seed1,distilbert_IRM_seed2",,labeled,0,10,50
